section_name	web_url	pub_date	snippet
World	https://www.nytimes.com/reuters/2017/07/10/world/asia/10reuters-japan-northkorea-russia.html	2017-07-10T16:27:31+0000	Japan and its international allies will push for Russia to do more to rein North Korea's nuclear ambitions, a Japanese official said during a visit to Denmark on Monday....
World	https://www.nytimes.com/reuters/2017/07/10/world/europe/10reuters-britain-eu-mps.html	2017-07-10T16:24:41+0000	British Prime Minister Theresa May suspended one of her Conservative Party lawmakers on Monday after she used racist language at a think tank event on the implications of Brexit on the financial services sector....
World	https://www.nytimes.com/reuters/2017/07/10/world/middleeast/10reuters-mideast-crisis-iraq-announcement.html	2017-07-10T16:24:37+0000	Iraqi Prime Minister Haider al-Abadi has announced victory over Islamic State in Mosul from the operations room of the Counter-Terrorism Service, his media office said on Twitter on Monday....
World	https://www.nytimes.com/reuters/2017/07/10/world/europe/10reuters-britain-austen-letter.html	2017-07-10T16:21:32+0000	Jane Austen once wrote that a large income was the best recipe for happiness. Now a private letter written by the author to her niece could well make someone very happy indeed....
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-chicagostockexchange-m-a-chongqing-regulator.html	2017-07-10T16:18:31+0000	Eleven members of Congress asked the U.S. Securities and Exchange Commission on Monday to stop the sale of the Chicago Stock Exchange to a group led by China-based investors, saying the regulator lacks the ability to monitor the foreign buyers....
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-mckesson-teamsters.html	2017-07-10T16:12:33+0000	The International Brotherhood of Teamsters urged McKesson Corp's shareholders to vote against the company's executive pay practices and called for it to appoint an independent chairman as the union criticized the drug distributor for its role in t...
World	https://www.nytimes.com/reuters/2017/07/10/world/europe/10reuters-portugal-politics-resignations.html	2017-07-10T16:06:39+0000	Portuguese prosecutors said on Monday that three junior government ministers were among those being investigated as part of a police probe into possible misconduct in public office....
World	https://www.nytimes.com/reuters/2017/07/10/world/middleeast/10reuters-mideast-crisis-iraq-abadi.html	2017-07-10T16:06:36+0000	Iraqi Prime Minister Haider al-Abadi formally declared victory over Islamic State in the city of Mosul on Monday, marking the biggest defeat for the group since it declared a caliphate three years ago....
World	https://www.nytimes.com/aponline/2017/07/10/world/europe/ap-eu-romania-corruption.html	2017-07-10T16:04:22+0000	A court has given a former Romanian mayor a four-year suspended prison sentence for illegally selling state-owned beaches....
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-italy-budget-renzi.html	2017-07-10T16:00:30+0000	Italian ministers and European Union officials gave a cool reception on Monday to a proposal by former prime minister Matteo Renzi that Italy flout the EU's fiscal rules for the next five years....
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-eurozone-budget-dijsselbloem.html	2017-07-10T15:57:34+0000	The European Union's economic leaders called on Monday for euro zone countries with high growth to spend more, an attempt to persuade Germany to step up its public spending and strengthen the bloc's economy....
World	https://www.nytimes.com/aponline/2017/07/10/world/europe/ap-eu-trump-russia-probe-lawyer.html	2017-07-10T15:55:10+0000	The Russian lawyer who has been thrust into the spotlight following reports of her meeting with President Donald Trump's eldest son was a largely unknown figure until she began to represent the son of a Russian official in a major money-laundering...
World	https://www.nytimes.com/reuters/2017/07/10/world/middleeast/10reuters-mideast-crisis-iraq-destruction.html	2017-07-10T15:51:31+0000	Piles of concrete and metal rubble reach up to the second storey of surrounding buildings in parts of the historic quarter where Islamic State is making its last stand in Mosul....
World	https://www.nytimes.com/reuters/2017/07/10/world/europe/10reuters-mideast-crisis-syria-afrin.html	2017-07-10T15:45:40+0000	Syrian Kurdish fighters clashed with Turkish forces shelling Kurdish-held towns in northwest Syria on Monday, Kurdish officials said....
World	https://www.nytimes.com/aponline/2017/07/10/world/middleeast/ap-ml-jordan-americans-killed.html	2017-07-10T15:37:26+0000	The relatives of two of the three American soldiers shot dead at a Jordanian air base last year described the pain of their loss in letters Monday to a military court trying the alleged killer....
World	https://www.nytimes.com/aponline/2017/07/10/world/europe/ap-eu-moldova-eu.html	2017-07-10T15:37:22+0000	A senior European official is urging Moldova to implement reforms so it can formally request European Union membership....
World	https://www.nytimes.com/aponline/2017/07/10/world/europe/ap-eu-germany-russia-siemens.html	2017-07-10T15:34:37+0000	Germany's Siemens AG says at least two gas turbines delivered to Russia were re-routed to Crimea, in violation both of European sanctions and a contract with the company....
World	https://www.nytimes.com/reuters/2017/07/10/world/europe/10reuters-g20-germany-minister.html	2017-07-10T15:30:30+0000	German Interior Minister Thomas de Maiziere said on Monday that some anti-capitalist protesters at the G20 summit in Hamburg at the weekend were "criminal anarchists" who had acted like neo-Nazis or Islamist terrorists....
World	https://www.nytimes.com/aponline/2017/07/10/world/europe/ap-eu-britain-sick-baby-the-latest.html	2017-07-10T15:25:26+0000	The Latest on the case of Charlie Gard, a baby who is at the center of a legal dispute over his care in London (all times local):...
World	https://www.nytimes.com/reuters/2017/07/10/world/americas/10reuters-guyana-prison.html	2017-07-10T15:24:35+0000	Authorities in Guyana were on the hunt on Monday for a death-row inmate believed to have masterminded a weekend prison riot that destroyed the country's largest jail and killed a warden....
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-tesla-model-3.html	2017-07-10T15:24:33+0000	Tesla Inc Chief Executive Elon Musk on Sunday tweeted pictures of the first Model 3 sedan to roll off the assembly line....
World	https://www.nytimes.com/reuters/2017/07/10/world/europe/10reuters-britain-saudi-arms-may.html	2017-07-10T15:12:30+0000	British Prime Minister Theresa May welcomed a decision by London's High Court on Monday to reject a bid to halt billions of pounds of arms sales to Saudi Arabia by campaigners who claimed they were being used in violation of international law....
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-usa-fed-consumers.html	2017-07-10T15:09:31+0000	Consumers expect to boost spending in the months ahead and voiced confidence they are more likely to find a job and less likely to lose one in a strong labor market, the New York Federal Reserve reported Monday in its latest monthly survey of cons...
World	https://www.nytimes.com/reuters/2017/07/10/world/middleeast/10reuters-mideast-crisis-syria-un.html	2017-07-10T15:06:41+0000	Agreements to de-escalate the fighting in Syria could simplify the conflict and help to stabilise the country, but such accords must be an interim measure and avoid partition, U.N. envoy Staffan de Mistura told a news conference on Monday....
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-germany-cyber.html	2017-07-10T15:06:37+0000	German firms have lost millions of euros to organized crime in a scam dubbed "CEO Fraud" that uses faked memos from top executives to entice accounting personnel to transfer funds, Germany's federal cyber agency said on Monday....
